brand,carHL,carName,carUrl,color,description,doors,lot,model,price,style,views,vinCode,year
Ford,"['\nOne Owner \r\n', '\nClean CARFAX Report / Available Upon Request \r\n', '\nOxford White / Carmine Red Leather Interior \r\n', '\nPremier Trim with Color Accent \r\n', '\nApproach Lighting \r\n', '\nLine Convertible Top \r\n', '\nAuto Lamp Headlights \r\n', '\nSignature Lighting \r\n', '\nPony Projection Lamps \r\n', '\nRain Sensing Wipers \r\n', '\nActive Valve Exhaust \r\n', '\nBlade Spoiler \r\n', '\nB&O Sound System \r\n', '\nBuilt-In Navigation\n']",MustangGT Premium,https://www.gaaclassiccars.com/vehicles/40056/2024-ford-mustang-gt-premium,White,One Owner,2,ST0170,Mustang,,Convertible,616 Views,VIN:1FAGP8FF0R5112453,2024
Chevrolet,"['\nGround Up, Nut and Bolt Rotisserie Restoration turned Resto-Mod\r\n', '\nBuilt in Carolina on a 1999 Z71 Chassis\r\n', '\n5.7L Vortec V8 Engine with Only 500 Miles on the Rebuild\r\n', '\nAutomatic Transmission\r\n', '\nCustom Suspension with 2"" Lift\r\n', '\nStainless Steel Exhaust System\r\n', '\n20"" Alloy Wheels \r\n', '\nPower Steering\r\n', '\nPower Disc Brakes\r\n', '\nPush-Button Selectable 4WD\r\n', '\nSupple Leather Seating Surfaces\r\n', '\nFolding Center Console\r\n', '\nModern Audio System\r\n', '\nVintage Air Climate Control\r\n', '\n1999 Gauge Cluster and Tilt Steering Column\r\n', '\nPowder-Coated Frame and Suspension Components\r\n', '\nHas been kept in an Environmentally-Controlled Facility\r\n', '\n4x4 Conversion\n']",Stepside,https://www.gaaclassiccars.com/vehicles/40060/1980-chevrolet-stepside,Black/Gray,"Ground Up, Nut and Bolt Rotisserie Restoration turned Resto-Mod",Black/Gray,ST0169,Stepside,,Truck,"1,052 Views",VIN:CCD14AJ147803,1980
Chevrolet,"['\n1 of Only 440 Produced in Riverside Blue \r\n', '\nOptional Carbon Fiber Hood Insert \r\n', '\nJet Black Interior with Red Accents Featuring Power Recaro Performance Bucket Seats with Leather Trim and Suede Inserts \r\n', '\n650hp 6.2L Supercharged V8 Engine\r\n', '\nOptional 10 Speed Automatic Transmission \r\n', '\nOptional Performance Data and Video Recorder \r\n', '\nInfotainment 3 Premium System with Navigation Option \r\n', '\nStandard Equipment List Contains More Features\r\n', '\nOwners Manual and Window Sticker\n']",CamaroZL1,https://www.gaaclassiccars.com/vehicles/40116/2019-chevrolet-camaro-zl1,Riverside Blue,1 of Only 440 Produced in Riverside Blue,2,ST0167,Camaro,,Coupe,579 Views,VIN:1G1FK1R66K0112105,2019
Ford,"['\nNot Actual Mileage Per Previous Title / Per NMVTIS Report \r\n', '\nCosmetic Restoration and Re-Paint\r\n', '\nC-Code 289 CID V8 Engine\r\n', '\nCruise-O-Matic Transmission\r\n', '\nPower Front Disc Brakes\r\n', '\nElectric Power Steering\r\n', '\nUpgraded Radio and Speakers\r\n', '\nAmerican Racing Wheels \r\n', '\nSouthern Car\n']",Mustang,https://www.gaaclassiccars.com/vehicles/40038/1965-ford-mustang,Red,C-Code 289 CID V8 Engine,2,ST0166,Mustang,,Convertible,"1,196 Views",VIN:5F08C298208,1965
Ford,"['\nMileage Not Branded on Title / Owner Believes to be 6K Miles\r\n', '\n5 Speed Manual Transmission \r\n', '\n5.4L Supercharged V8 Engine\n']",MustangShelby GT500,https://www.gaaclassiccars.com/vehicles/39831/2008-ford-mustang-shelby-gt500,Red,Low Miles,2,ST0168,Mustang,,Coupe,857 Views,VIN:1ZVHT88SX85130202,2008
Ford,"['\nFactory Q Code 428 CID Engine\r\n', '\nBig Shaft 4-Speed\r\n', '\nBench Seat\r\n', '\nBig 9-3/8"" Rear End\r\n', '\nSurvivor\r\n', '\n7 Litre Galaxie in LTD Trim\n']",GalaxieLTD,https://www.gaaclassiccars.com/vehicles/40040/1966-ford-galaxie-ltd,Blue,Survivor,2,ST0164,Galaxie,,Coupe,"2,591 Views",VIN:6E67Q200197,1966
Ford,"['\nProfessional Build by Velocity Restorations of Florida \r\n', '\n900 Miles Since Completion \r\n', '\n5.0L Coyote V8 Gen II Engine\r\n', '\n5 Speed Tremec Manual Transmission \r\n', '\nDana Transfer Case \r\n', '\nSaddle Leather Interior \r\n', '\nCustom Bucket Seats with Ferrari Daytona Style Straps \r\n', '\nSpecial Order Brittany Blue Paint\r\n', '\nBilstein Suspension \r\n', '\nLED Headlights\r\n', '\nA/C\r\n', '\nFull Black Soft Top and Bikini \r\n', '\nHighly Detailed Throughout\n']",BroncoSport,https://www.gaaclassiccars.com/vehicles/40034/1977-ford-bronco-sport,Brittany Blue,Professional Build by Velocity Restorations of Florida,2,ST0163,Bronco,,Suv,"2,649 Views",VIN:U15GLY41730,1977
Chevrolet,"['\nPer Title Mileage Exempt / Owner Believes to be 9 Original Miles \r\n', '\n25th Anniversary Paint\r\n', '\nLimited Edition Decals\r\n', '\nPower Locks and Windows\r\n', '\nA/C\r\n', '\nBucket Seats and T-Top Roof\r\n', '\nTwo-Tone Black and Silver Exterior with Silver Leather Interior\r\n', '\n350-4 V8 Engine\r\n', '\nAutomatic Transmission\r\n', '\nFactory 15"" Aluminum Front and Rear Wheels\r\n', '\nGoodyear 255-60 R15 Front and Rear Tires\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39866/1978-chevrolet-corvette,Silver,25th Anniversary Paint,Black,ST0165,Corvette,,Silver,"1,429 Views",VIN:1Z87L8S903028,1978
Chevrolet,"['\nJust Completed C2 Retro-Vette Conversion \r\n', ""\nInterior and it's Features have not been Altered in any way\r\n"", '\nChassis and Drive Train have Not been Altered\r\n', '\nNew C2 Body was Engineered to Bolt in the Same Location as the Factory Fasteners\r\n', '\nAll the Air Bag and Security Sensors are Still in the Factory Locations\r\n', '\nThis Particular C2 Conversion is a 1963 Split Window Coupe and Features Operable Flip Up Headlights and Z06 Style Chrome Wheels\r\n', '\nPainted Crystal Clare Tintcoat with Custom Camel Tan Interior\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39965/2009-chevrolet-corvette,Red,C2 Retro-Vette Conversion,2,ST0160,Corvette,,Coupe,"2,557 Views",VIN:1G1YY25W295103790,2009
Ferrari,"['\n1,130 Actual Miles\r\n', '\nLikely the Lowest Mile Last Year Naturally Aspirated Example Available\r\n', '\nFront End and Side Mirrors PPF Wrap \r\n', '\nLast Year of the Naturally Aspirated Ferrari \r\n', '\nNo Damage History \r\n', '\nSold New in California\r\n', '\nBianca White with Ebony Black Leather Interior\r\n', '\nAlways Garage Kept \r\n', '\nNo Modifications\r\n', '\nFront Lift System\r\n', '\nBack Up Camera\r\n', '\nCarbon Fiber Accents\r\n', '\nDiamond Finish Wheels\r\n', '\nShift Lights on Steering Wheel\r\n', '\nPower Seats with White Stitching\r\n', '\nYellow Brake Calipers\r\n', '\nCar Cover \r\n', '\nOwners Manual\r\n', '\nNo Service Engine Lights\n']",458Italia,https://www.gaaclassiccars.com/vehicles/39961/2015-ferrari-458-italia,White,"1,130 Actual Miles",2,ST0161,458,,Coupe,"3,187 Views",VIN:ZFF67NFA3F0206684,2015
Chevrolet,"['\n2002 Chevrolet Corvette / 1958 C1 Conversion\r\n', '\nJust Completed C1 Retro Vette Conversion \r\n', '\nEquipped with the 2LT Package\r\n', '\nInterior has not been Altered or Cut and Sectioned in any way \r\n', '\nAll Air Bag and Security Sensors are still in the Factory Locations\r\n', '\nThe 1958 Body Utilizes the Original Chrome Bumpers, Grille, Headlight Buckets and Spears, and the Exhaust is Routed out the Rear Bumper\r\n', '\nHas been Equipped with a Supercharger by A & A Corvette Supercharges that Producers nearly 600 HP \r\n', '\nTransmission has been Built to Handle the Power\r\n', '\na New 2500 Torque Converter was Installed\r\n', '\nNew 3.73 Gears Installed in the Rear Axle\r\n', '\nNew Chrome Z06 Style Wheels and Tires\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39963/2002-chevrolet-corvette,Red,2002 Corvette / 1958 C1 Conversion,2,ST0159,Corvette,,Convertible,"1,954 Views",VIN:1G1YY32G025106938,2002
Pontiac,"['\n400 CID Engine\r\n', '\n4-Speed Transmission\r\n', '\nPHS Documentation\r\n', '\nLime Light Green Exterior\r\n', '\nAir Conditioning\r\n', '\nPower Windows\r\n', '\nPower Steering\r\n', '\nUpgraded Front Disc Brakes\r\n', '\n17"" Wheels\r\n', '\nModern Stereo with Bluetooth and Sub Woofer and Sirus\r\n', '\nRemote Door Locks and Alarm\n']",GTO,https://www.gaaclassiccars.com/vehicles/40045/1969-pontiac-gto,Green,400 CID Engine,2,ST0158,GTO,,Convertible,"1,239 Views",VIN:242679B173423,1969
Dodge,"['\nMCO Selling As Used Vehicle \r\n', '\n1 of 289 Tor-Red Demons Produced Out of 3,300 / Even Less with Carbon Fiber Wheels and Sunroof \r\n', '\nHighly Optioned Demon\n']",ChallengerD170,https://www.gaaclassiccars.com/vehicles/39921/2023-dodge-challenger-d170,Black,"1 of 289 Tor-Red Demons Out of 3,300",Tor-Red,ST0157,Challenger,,Coupe,"1,005 Views",VIN:2C3CDZL93PH100409,2023
Chevrolet,"['\nX33 RS Z28\r\n', '\nAll Correct Frame Off Restoration Completed Almost 10 Years Ago \r\n', '\nBeen in a Private Collection in South Carolina for the Past 8 Years\r\n', '\nCorrect 302 CID 290hp Engine / Pad Stamp V1204DZ= December 4, 1968\r\n', '\nCar Build Date 12C= 3rd Week of December 1968\r\n', '\nCorrect Smog Equipment \r\n', '\nCorrect Holley Carb \r\n', '\nCorrect Muncie 4 Speed Transmission \r\n', '\n12 Bolt 3.73 Posi-Traction Rear End \r\n', '\nPower Disc Brakes \r\n', '\nCowl Induction Hood \r\n', '\nRally Sport Package \r\n', '\nFactory Tach & Gauges \r\n', '\nDeluxe Houndstooth Interior \r\n', '\nConsole Gauges \r\n', '\nCorrect Hurst Shifter \r\n', '\nRosewood Steering Wheel \r\n', '\nCorrect Goodyear Polyglas Tires \r\n', '\nCorrect Spare & Jack \r\n', '\nFront & Rear Bumper Guards\n']",CamaroZ28,https://www.gaaclassiccars.com/vehicles/40025/1969-chevrolet-camaro-z28,Silver,X33 RS Z28,2,ST0155,Camaro,,Coupe,"3,135 Views",VIN:124379N550943,1969
Chevrolet,"['\nX66 Factory Big Block Car with Big Block Engine\r\n', '\nAutomatic Transmission \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes \r\n', '\nVintage A/C\r\n', '\nBucket Seats and Console \r\n', '\nCorrect SS Wheels with BF Goodrich Tires \r\n', '\nPower Top\n']",Camaro,https://www.gaaclassiccars.com/vehicles/40031/1969-chevrolet-camaro,Red,X66 Factory Big Block Car,2,ST0154,Camaro,,Convertible,"1,233 Views",VIN:124679N633341,1969
Ford,"['\nV8 239 CID Flathead Engine\r\n', '\n3-Speed on the Column Manual Transmission\r\n', '\nBench Seat\r\n', '\nWide White Wall Tires\r\n', '\nContinental Kit\r\n', '\nClock in Dash\r\n', '\nDual Exhaust\r\n', '\n1 of 40,861 Produced During the Model Year\r\n', '\nFinished in Blazing Flame Red with Matching Red Leather Interior\r\n', '\nCanvas Power Top\r\n', '\n50th Anniversary Steering Wheel\n']",CrestlineSunliner,https://www.gaaclassiccars.com/vehicles/39941/1953-ford-crestline-sunliner,Red,V8 239 CID Flathead Engine,2,ST0153,Crestline,,Convertible,790 Views,VIN:B3LC120746,1953
Chevrolet,"['\nBig Block Coupe\r\n', '\nMatching Numbers 427 CID 1R Code 435 HP L71 Engine\r\n', '\nUpgraded Aluminum GM Performance Intake, 4 Barrel Carb, and Dual Exhaust\r\n', '\nMuncie M22-4-Speed Manual Transmission \r\n', '\nCorrect 3.55 HD Posi Differential for 68-69 427 Only\r\n', '\nBright Red Exterior\r\n', '\nBlack Interior\r\n', '\nT-Tops\r\n', '\nAM/FM Radio\r\n', '\nDelay Wipers\r\n', '\nPower 4-Wheel Disc Brakes\r\n', '\nPower Steering\r\n', '\nRally Wheels with Uniroyal Tiger Paw GTS White Letter Tires\n']",CorvetteStingray,https://www.gaaclassiccars.com/vehicles/39795/1968-chevrolet-corvette-stingray,Red,T-Tops,2,ST0152,Corvette,,Coupe,"5,810 Views",VIN:194378S426356,1968
Chevrolet,"['\nAlabama Registration Only \r\n', '\nRestomod Sedan\r\n', '\nGM 5.3L LS EFI V8 Engine\r\n', '\n4L60E Automatic Overdrive Transmission\r\n', '\nPower Steering\r\n', '\nPower Disc Brakes\r\n', '\nVintage Air Conditioning\r\n', '\nChrome Tilt Column\r\n', '\nAM/FM/AUX Stereo\r\n', '\nCruise Control\r\n', '\nTwo Stage Dark Gray Paint with High Gloss Finish\r\n', '\nAll New Chrome and Stainless\r\n', '\nAll New Glass and Weather-Stripping\r\n', '\nAll New Interior and Chrome Hardware\r\n', '\n20"" US Mag Wheels\r\n', ""\nIn several states including Georgia, Alabama, New York, Connecticut, Vermont, Maine, Rhode Island, and New Hampshire, vehicle titles aren't issued for older vehicles; registrations are. However, in North Carolina, a registration can be used to apply for a title if accompanied by a proof of purchase and notarized bill of sale. Our auction mandates that any seller with a registration provides a proof of purchase, and we'll furnish the buyer with a notarized bill of sale after the vehicle sells. We also announce this at the auction to help out-of-state buyers inquire with their DMV about the forms required to obtain a title in their state.\n""]",210,https://www.gaaclassiccars.com/vehicles/39974/1956-chevrolet-210,Gray,Restomod Sedan,Gray,ST0150,210,,Gray,"1,326 Views",VIN:B56S100776,1956
Chevrolet,"['\n1 of 69\r\n', '\nOrange Exterior with Red and Silver Interior\r\n', '\n283 CID V8 Engine with 250 HP\r\n', '\n3-Speed Column-Shifted Manual Transmission\r\n', '\nPower Steering\r\n', '\nPadded Dash\r\n', '\nModern AM/FM Radio\n']",Bel AirFuelie,https://www.gaaclassiccars.com/vehicles/39909/1957-chevrolet-bel-air-fuelie,Matador Red,1 of 69,2,ST0151,Bel Air,,Convertible,"1,163 Views",VIN:VC57S299018,1957
Chevrolet,"['\nAlabama Registration Only\r\n', '\nNon-Conforming VIN / Incorrect Fasteners\r\n', ""\nProfessional Build by Bruce's Rod & Customs in Alabama\r\n"", '\nBuild began with a Southern Car\r\n', '\nCorvette LS1 V8 Engine\r\n', '\n4L60E Automatic Overdrive Transmission\r\n', '\nPower Steering\r\n', '\nPower Disc Brakes\r\n', '\nAll New Custom Leather Interior\r\n', '\nDakota Digital Dash\r\n', '\nVintage Air Conditioning\r\n', '\nAM/FM/AUX Stereo\r\n', '\nFront Power Windows\r\n', '\nAmerican Auto Wire Wiring Harness\r\n', '\nTwo Stage Black Paint with a High Gloss Finish\r\n', '\nAll New Chrome and Stainless\r\n', '\nAll New Glass and Weather-Stripping\r\n', '\nWide White Radials with Chrome Wire Wheels \r\n', ""\nIn several states including Georgia, Alabama, New York, Connecticut, Vermont, Maine, Rhode Island, and New Hampshire, vehicle titles aren't issued for older vehicles; registrations are. However, in North Carolina, a registration can be used to apply for a title if accompanied by a proof of purchase and notarized bill of sale. Our auction mandates that any seller with a registration provides a proof of purchase, and we'll furnish the buyer with a notarized bill of sale after the vehicle sells. We also announce this at the auction to help out-of-state buyers inquire with their DMV about the forms required to obtain a title in their state.\n""]",Impala,https://www.gaaclassiccars.com/vehicles/39972/1958-chevrolet-impala,Black,Corvette LS1 V8 Engine,2,ST0148,Impala,,Hardtop,"1,444 Views",VIN:E58S223601,1958
Buick,"['\nCustom Show Winner World of Wheels \r\n', '\nPreviously Done from 1998-2000 / Current Owner Had it Redone Between 2018-2020\r\n', '\nBCA Gold Award Winner from 2022 Buick Nationals\r\n', '\nWorld of Wheels VIP Invited Exhibitor 2022\r\n', '\nWorld of Wheels First Place Winner 2020\r\n', '\nChevrolet 350 LT1 Electric Fuel Injected Engine\r\n', '\nAll Panels in Engine Compartment Powder Coated and Painted Except Firewall\r\n', '\nSide Hinge Hood \r\n', '\nDual Electric Cooling Fans \r\n', '\nWalker Radiator \r\n', '\n700R Automatic Transmission \r\n', '\nUpdated Instruments Analog Gauges \r\n', '\nRon Francis Wiring Harness \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes on Front and Drum on Rear \r\n', '\nVintage A/C\r\n', '\nCustom Aluminum Tilt Steering Column \r\n', '\nSplit Window Windshield \r\n', '\nDual Chrome Side Mirrors \r\n', '\nElectric Wiper System \r\n', '\nOnly Body Modification in Frenched in Antenna \r\n', '\nQA1 Coil Over Shocks All the Way Around \r\n', '\nFront Clip Out of 1981 Oldsmobile Cutlass \r\n', '\nPositraction - GM 10 Bolt Rear End \r\n', '\nDual Exhaust with Flowmaster Mufflers \r\n', '\nTwo Tone Exterior in Maserati Green on Top and Jaguar Darker Green on Bottom \r\n', '\nOriginal Seats Recovered in Tan Leatherette with Matching Door Panels \r\n', '\nChrome Waterfall Grill\r\n', '\nWide Whitewalls on Steel Wheels with Bullet Center Caps and Trim Rings\n']",SuperSedanette,https://www.gaaclassiccars.com/vehicles/39755/1948-buick-super-sedanette,Green,Custom Show Winner World of Wheels,2,ST0149,Super,,Sedan,"2,015 Views",VIN:24822547,1948
Chevrolet,"['\nPro Touring Convertible\r\n', '\nFrame Off Restoration\r\n', '\n350 CID LT1 Tuned Port Engine\r\n', '\nAutomatic Transmission\r\n', '\nPower Steering\r\n', '\n4-Wheel Disc Brakes\r\n', '\nTilt Wheel\r\n', '\nVintage Heat and A/C\r\n', '\nModern Front and Rear Suspension\r\n', '\nAir Shocks\n']",Bel Air,https://www.gaaclassiccars.com/vehicles/39877/1957-chevrolet-bel-air,Red,Frame Off Restoration,2,ST0147,Bel Air,,Convertible,"1,164 Views",VIN:VC57B196832,1957
Chevrolet,"['\nMCO Selling As Used Vehicle\r\n', '\n265 CID Engine\r\n', '\nManual Shift on the Floor\r\n', '\nAmerican Racing Torque Thrust Wheels\r\n', '\nPower Steering\r\n', '\nFront Disc Brakes\r\n', '\nVintage A/C\r\n', '\nNew Interior\r\n', '\nAM/FM with Bluetooth Radio\r\n', '\nNew Wiring Harness\r\n', '\nNew Aluminum Radiator\r\n', '\nNew Tilt Steering\n']",150,https://www.gaaclassiccars.com/vehicles/39879/1956-chevrolet-150,Black/White,265 CID Engine,2,ST0146,150,,Coupe,"1,192 Views",VIN:A56N065415,1956
Plymouth,"['\nReal Super Bee \r\n', '\n426 HEMI Engine \r\n', '\n2-4 Barrel Carbs\r\n', '\nPistol Grip 4 Speed Manual Transmission \r\n', '\nDana Rear End \r\n', '\nSame Owner 22 Years \r\n', '\nNew Magnum Wheels\n']",Super Bee,https://www.gaaclassiccars.com/vehicles/40112/1970-plymouth-super-bee,Red,426 HEMI Engine,2,ST0145,Super Bee,,Coupe,963 Views,VIN:WM21N0A168379,1970
Chevrolet,"['\nMint Green Exterior \r\n', '\n350 Small Block Engine \r\n', '\nFiTech Fuel Injection \r\n', '\nBillet Specialties Front Runner System\r\n', '\nPolished Compressor, Alternator and Pulleys\r\n', '\nMSD Ignition \r\n', '\nBillet Valve Covers \r\n', '\nHedman Headers with 3"" Exhaust \r\n', '\nAluminum Radiator with Electric Fans\r\n', '\n700R4 Transmission\r\n', '\nLokar Floor Shifter\r\n', '\n12 Bolt Rear \r\n', '\nQA1 Tubular Upper and Lower Control Arms\r\n', '\nQA1 Front and Rear Coil Overs \r\n', '\nQA1 Rear Trailing Arms\r\n', '\nQA1 Front and Rear Sway Bars \r\n', '\nWilwood Master Cylinder with Power Booster\r\n', '\n4-Piston Wilwood Brake Front and Rear\r\n', '\nDrilled and Slotted Rotor\r\n', '\nBraided Brake Lines \r\n', '\nBorgeson Power Steering Box\r\n', '\nLokar Emergency Brake \r\n', '\nTMI Bucket Seats and Door Panels\r\n', '\nPower Windows \r\n', '\nTilt Column with Billet Wheel\r\n', '\nClassic Instruments Gauges\r\n', '\nCustom Console \r\n', '\nKenwood Audio System \r\n', '\nBillet Pedals\r\n', '\nSeatbelts \r\n', '\nOak Bed Floor\r\n', '\nRear Mount Fuel Tank \r\n', '\n20x10 US Mags 295/30/20 Tire \r\n', '\n20x8 Front 245/40/\r\n', '\nCustom Hood Treatment\n']",C10,https://www.gaaclassiccars.com/vehicles/39733/1970-chevrolet-c10,Mint Green,FiTech Fuel Injection,2,ST0144,C10,,Pickup Truck,"1,531 Views",VIN:CE140Z149128,1970
Chevrolet,"['\nGM Performance Hot Cam LS2 6.2L 480hp Engine \r\n', '\nTremec TKO 5 Speed Manual Transmission\r\n', '\n12 Bolt Positive Traction Rear End with 3:73 Gears\r\n', '\nSolid Rear Control Arms\r\n', '\nUMI Performance Front and Rear Sway Bars \r\n', '\nRebuilt Front Suspension \r\n', '\n4 Wheel Power Disc Brakes \r\n', '\nVintage Heat & A/C\r\n', '\nDakota Digital Gauges \r\n', '\nPower Steering \r\n', '\nFlaming River Tilt Steering Column \r\n', '\nAll New Interior\r\n', '\nRefinished in Victory Red with Yenko Badging \r\n', '\n20"" American Racing Wheels \r\n', '\n3"" Performance Exhaust\n']",Chevelle,https://www.gaaclassiccars.com/vehicles/39727/1969-chevrolet-chevelle,Red,GM Performance Hot Cam LS2 6.2L 480hp Engine,2,ST0143,Chevelle,,Coupe,"2,131 Views",VIN:136379Z343550,1969
Chevrolet,"['\nCalifornia Black Plate Car \r\n', '\nMatching Numbers DZ 302 Casting 3932386, Cast Date 1-21-68, Front Pad 503249 VO927DZ, Trans Number 3950506 Casting 3925660\r\n', '\nAzure Turquoise with Black Standard Interior \r\n', '\nOptioned with California A.I.R.\r\n', '\nPower Steering and Brakes \r\n', '\nConsole with Factory Tach & Gauges \r\n', '\nVery Early 69 with Flat Hood and Short Rear Spoiler \r\n', '\nCorrect Rally Wheels, Trim Rings, Jack & Handle \r\n', '\nOriginal AM Radio with Factory 4 Speakers\n']",CamaroZ28,https://www.gaaclassiccars.com/vehicles/39704/1969-chevrolet-camaro-z28,Blue,California Black Plate Car,2,ST0141,Camaro,,Coupe,"3,388 Views",VIN:124379L503249,1969
Pontiac,"['\n400 W72 V8 Engine\r\n', '\nAutomatic Transmission\r\n', '\nStarlight Black Exterior \r\n', '\nBlack Deluxe Interior \r\n', '\nY82 Special Edition\r\n', '\nPower Windows\r\n', '\nPower Brakes\r\n', '\nPower Steering\r\n', '\nT-Top\r\n', '\nPHS \r\n', '\nGlovebox Signed by Burt Reynolds\r\n', '\nOEM Goodyear Polysteel Tires\r\n', '\nCruise Control \r\n', '\nDelco AM/FM Radio\n']",Trans AmSE,https://www.gaaclassiccars.com/vehicles/39903/1977-pontiac-trans-am-se,Starlight Black,Y82 Special Edition,2,ST0142,Trans Am,,Coupe,"2,095 Views",VIN:2W87Z7N194122,1977
Pontiac,"[""\n1 of Only 676 4-Speed Manual Transmission Cars Produced out of 112,486 Grand Prix's Built\r\n"", '\nNumbers Matching 400 CID Engine\r\n', '\n4-Speed Transmission\r\n', '\nPower Steering\r\n', '\nPower Front Disc Brakes\r\n', '\nSafe-T-Track Rear End\r\n', '\nFactory Air Conditioning\r\n', '\nRally Gauges\r\n', '\nTach\r\n', '\nFinished in Palladium Silver with Blue Interior\r\n', '\nBucket Seats with Consoles\r\n', '\nRally Tilt Steering Wheel\r\n', '\nFactory AM/FM Stereo\r\n', '\nRally II Wheels with BF Goodrich Tires\r\n', '\nPHS Documented\r\n', '\nFrom Long Term Collection\n']",Grand Prix4 Speed,https://www.gaaclassiccars.com/vehicles/40061/1969-pontiac-grand-prix-4-speed,Blue,Numbers Matching 400 CID Engine,Blue Metallic,ST0138,Grand Prix,,Blue,"2,376 Views",VIN:276579P202652,1969
Studebaker,"['\nNon Conforming Vin / Incorrect Fasteners\r\n', '\n1 of Only 4,356 Produced\r\n', '\nFinished in Apache Red with Artic White Fins\r\n', '\nFrame Off Restoration\r\n', '\nRed Leather Interior\r\n', '\nJet Stream Super Charger Mated to a 289 CID V8 Engine\r\n', '\nFlight-O-Matic Automatic Transmission\r\n', '\nPower Windows\r\n', '\nPower Steering\r\n', '\nPower Brakes\n']",Golden Hawk,https://www.gaaclassiccars.com/vehicles/39942/1957-studebaker-golden-hawk,Red,Frame Off Restoration,2,ST0139,Golden Hawk,,Coupe,"1,399 Views",VIN:6101093,1957
Chevrolet,"['\nReal 138 SS\r\n', '\nRotisserie Restored \r\n', '\nBody Color Floors \r\n', '\nRefinished in Regal Red with Black Bucket Seat Interior \r\n', '\n396 CID Engine with Performance Upgrades \r\n', '\nMuncie 4 Speed Transmission \r\n', '\n12 Bolt Rear \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes \r\n', '\nWood Wheel \r\n', '\nBF Goodrich TA Radials\n']",ChevelleSS,https://www.gaaclassiccars.com/vehicles/39824/1966-chevrolet-chevelle-ss,Red,Real 138 SS,2,ST0140,Chevelle,,Coupe,"2,012 Views",VIN:138176A163713,1966
American Motors,"['\nFully Restored \r\n', '\n4WD\r\n', '\nBright White Exterior with Saddle Tan Scrambler Graphics \r\n', '\n1"" Lift and Professionally done Rhino Bed Liner\r\n', '\nHi-Back Bucket Seat Interior done in Saddle Tan Leather Upholstery\r\n', '\n2.8L Inline 6-Cylinder Engine\r\n', '\nElectric Cooling Fan\r\n', '\n3-Speed Automatic 727 Transmission\r\n', '\n4WD Manual Locking Front Hubs\r\n', '\nAir Conditioning\r\n', '\nAM/FM Cassette Player\r\n', '\nDelay Wipers\r\n', '\nPower Front Disc Brakes\r\n', '\nPower Steering\r\n', '\nCustom Wheels and Oversized Tires\n']",ScramblerCJ8,https://www.gaaclassiccars.com/vehicles/39791/1981-american-motors-scrambler-cj8,Jeep,Fully Restored,2,ST0137,Scrambler,,Jeep,"2,378 Views",VIN:1JCBM88E3BT078977,1981
Chevrolet,"['\nYellow and Black Exterior with Black Interior\r\n', '\n327 CID V8 Engine \r\n', '\n4-Speed Manual Transmission\r\n', '\nRWD\r\n', '\nBucket Seats\r\n', '\nWood Grain Steering Wheel\r\n', '\nVintage A/C\r\n', '\nHard Top and Like New Convertible Top\r\n', '\nSide Pipe Exhaust\r\n', '\nVented Hood Scoop\r\n', '\nFitted Car Cover\r\n', '\nChrome Bumpers\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39864/1966-chevrolet-corvette,Black,327 CID V8 Engine,Yellow,ST0136,Corvette,,Convertible,"1,230 Views",VIN:194676S117462,1966
Ford,"['\nPer Title Mileage Exceeds Mechanical Limits \r\n', '\nCustom Built 289CID V8 Mercury Flathead Engine\r\n', '\nNew Stromberg 97s Carburetors and New Offenhauser Heads\r\n', '\n3-Speed Manual Overdrive Transmission\r\n', '\n12-Volt System with All New Wiring\r\n', '\nElectronic Ignition and Alternator\r\n', '\nSanderson Headers\r\n', '\nFatman Dropped Spindles\r\n', '\nBlack Interior Highlighted with Woodwork by Ron Heiden\r\n', '\nTan Interior with Porsche Square-Weave Carpet\r\n', '\nThree Seats\r\n', '\nAM/FM Radio with iPod Jack\r\n', ""\nRoof-Mounted Bamboo Rack with two 9-ft 6-in O'Neil Longboard\n""]",Squire,https://www.gaaclassiccars.com/vehicles/39918/1950-ford-squire,Black,3-Speed Manual Overdrive Transmission,2,ST0135,Squire,,Station Wagon,859 Views,VIN:B0NR144044,1950
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Off Restored \r\n', '\n18/20"" Billet Specialties Wheels\r\n', '\nPower Disc Brakes \r\n', '\nPower Steering \r\n', '\n327 CID Engine \r\n', '\nAutomatic Transmission \r\n', '\nPower Top \r\n', '\nBuckets Seats & Console\n']",ImpalaSS,https://www.gaaclassiccars.com/vehicles/39774/1964-chevrolet-impala-ss,Aqua,Frame Off Restored,2,ST0134,Impala,,Convertible,"3,797 Views",VIN:41467F313110,1964
